Priorità,ISBN,Titolo,Sottotitolo,Autore,Formato,Pagine,Editore,Data di edizione,Nota privata
"Medio","[9788830439009]","Contro la decrescita","Perchè rallentare non è la soluzione","Luca Simonetti","Paperback","259","Longanesi","[2014-xx-xx]",""
"Medio","[9788830722095]","I rifiuti? Non esistono!","Due o tre cose da sapere sulla loro gestione","Marco Boschini, Ezio Orzes","Paperback","59","EMI (Gli infralibri)","[2014-10-xx]",""
"Medio","[9788822062949]","Pinocchio e la scienza","Come difendersi da false credenze e bufale scientifiche","Silvano Fuso","Paperback","271","Dedalo","[2006-01-01]",""
"Medio","[9788871684369]","Il caso Jane Eyre","","Jasper Fforde","Paperback","382","Marcos y Marcos (Gli alianti, 132)","[2006-04-xx]",""
"Medio","[9788804570820]","L'illusione di Dio","Le ragioni per non credere","Richard Dawkins","Copertina rigida","400","A. Mondadori (Saggi)","[2007-08-xx]",""
"Medio","[9788806197308]","Sarà vero","La menzogna al potere: Falsi, sospetti e bufale che hanno fatto la storia","Errico Buonanno","Paperback","363","Einaudi (Stile Libero Extra)","[2009-01-01]",""
"Medio","[9788884905970]","Io e loro","Cronache di un marito","Brunella Gasperini","Altri","189","Baldini Castoldi Dalai","[2004-01-01]",""
"Medio","[9788866213093]","Indignazione","","Philip Roth","Paperback","141","Einaudi (Numeri primi)","[2011-01-01]",""
"Medio","[9788868330583]","L'arte di mentire a se stessi e agli altri","","Giorgio Nardone","Paperback","142","Ponte alle Grazie","[2014-xx-xx]",""
"Medio","[9788842907466]","Neuromante","","William Gibson","Paperback","256","Nord","[1993-11-01]",""
"Medio","[9788820056247]","Pensare freakonomics","Un metodo non convenzionale per risolvere tutti i problemi","Steven D. Levitt, Stephen J. Dubner","Copertina rigida","240","Sperling & Kupfer (Saggi)","[2014-06-17]",""
"Medio","[9788868264321]","Breaking Beppe","Dal Grillo qualunque alla guerra civile simulata","Giuliano Santoro","Paperback","220","Castelvecchi","[2014-07-05]",""
"Medio","[9788804559238]","L'attentatrice","","Yasmina Khadra","Paperback","232","Mondadori","[2006-01-01]",""
"Medio","","Bologna Social Enclave","racconto","Wu Ming","eBook","7","Wu Ming Foundation","[2001-01-01]",""
"Medio","[9781861978776]","Born to Run","The Hidden Tribe, the Ultra-Runners, and the Greatest Race the World Has Never Seen","Christopher McDougall","Paperback","304","","[2010-04-15]",""
"Medio","[9788834709405]","Perdido Street Station","","China Mieville","Paperback","744","Fanucci","[2003-01-01]",""
"Medio","[9788889479001]","Il potere della stupidità","","Giancarlo Livraghi","Altri","148","Monti & Ambrosini","[2004-01-01]",""
"Medio","[9788889479094]","Mentire con le statistiche","","Darrell Huff","Copertina rigida","206","Monti & Ambrosini","[2007-01-01]",""
"Medio","[9781781683323]","The Frontman","Bono (In the Name of Power)","Harry Browne","eBook","192","Verso","[2013-06-10]",""
"Medio","[9788804629269]","Effetti collaterali","Come le case farmaceutiche ingannano medici e pazienti","Ben Goldacre","Copertina rigida","416","A. Mondadori","[2013-04-xx]",""
"Medio","[9788861593039]","La cattiva scienza","","Ben Goldacre","Altri","297","Bruno Mondadori (Presente storico)","[2009-01-01]",""
"Medio","[9788804320173]","La casa degli invasati","","Shirley Jackson","Paperback","215","Arnoldo Mondadori (Oscar Horror, 2)","[1989-03-01]",""
"Medio","[9788831794541]","L'estate dei morti viventi","","John Ajvide Lindqvist","Paperback","377","Marsilio (Farfalle)","[2008-05-28]",""
"Medio","","Il giorno dei Trifidi - Il risveglio dell'abisso - I figli dell'invasione - Chocky","I Massimi della Fantascienza 5","John Wyndham","Copertina rigida","526","A. Mondadori","[1984-06-01]",""
"Medio","[9788833916521]","Il terzo scimpanzé","Ascesa e caduta del primate homo sapiens","Jared Diamond","Paperback","480","Bollati Boringhieri","[2006-01-01]",""
"Medio","[9788804621089]","Pensieri lenti e veloci","","Daniel Kahneman","Paperback","560","Arnoldo Mondadori","[2012-04-01]",""
"Medio","[9788834711132]","Tutti i racconti 1969-1992","","J. G. Ballard","Altri","633","Fanucci","[2005-01-01]",""
"Medio","","Incubo a quattro dimensioni","","J. G. Ballard","Paperback","224","Mondadori (Oscar Fantascienza, 842)","[1978-02-01]",""
"Medio","","I segreti di Vermilion Sands","Orizzonti IX","J. G. Ballard","Paperback","214","Fanucci","[1976-02-01]",""
"Medio","[9788807701801]","Regno a venire","","J. G. Ballard","Altri","293","Feltrinelli","[2006-01-01]",""
"Medio","","Obbedienza all'autorità","Uno sguardo sperimentale","Stanley Milgram","Copertina rigida","205","Fabbri (La grande biblioteca della Psicologia)","[2007-01-01]",""
"Medio","[9788889164198]","Masters of Doom","Ovvero come due ragazzi hanno creato un impero e trasformato la cultura pop","David Kushner","Altri","292","Multiplayer.it","[2005-01-01]",""
"Medio","[9788820359447]","Vendere tutto","Jeff Bezos e l'era di Amazon","Brad Stone","Copertina rigida","323","Hoepli (Business & technology)","[2013-xx-xx]",""
"Medio","[9788854506121]","Inferno: Il mondo in guerra 1939-1945","","Max Hastings","Paperback","895","Neri Pozza","[2012-11-29]",""
"Medio","[9788875211356]","La storia segreta dell'impero americano","Corruttori, sciacalli e sicari dell'economia","John Perkins","Altri","","Minimum fax","[2007-01-01]",""
"Medio","[9788806214524]","Il mondo fino a ieri","Che cosa possiamo imparare dalle società tradizionali?","Jared Diamond","Copertina rigida","520","Einaudi (Saggi)","[2013-05-14]",""
"Medio","[9788878996076]","O la va o la spacca","","Enrico Brizzi","Paperback","138","Barbera","[2013-07-xx]",""
"Medio","[9788806208936]","Una coppia perfetta","I racconti di Hap e Leonard","Joe R. Lansdale","Tascabile economico","196","Einaudi (Stile Libero Big)","[2013-03-xx]",""
"Medio","[9788806208868]","Acqua buia","","Joe R. Lansdale","Paperback","340","Einaudi (Stile libero Big)","[2012-06-12]",""
"Medio","[9788862510066]","Bangkok uccide","","John Burdett","Copertina rigida","350","Giano","[2007-11-xx]",""
"Medio","[9788830425491]","Perché siamo antipatici","La sinistra e il complesso dei migliori prima e dopo le elezioni del 2008","Luca Ricolfi","Copertina rigida","236","Longanesi (Le spade)","[2008-01-01]",""
"Medio","","Il giorno dei dinosauri","Urania 1224","Joe R. Lansdale","Paperback","144","Mondadori","[1994-02-06]",""
"Medio","","La strategia dell’Ariete","","Kaizen","Paperback","","Arnoldo Mondadori Editore","[2007-03-01]",""
"Medio","[9788807111228]","Keynes o Hayek","Lo scontro che ha definito l'economia moderna","Nicholas Wapshott","Paperback","304","Feltrinelli","[2012-10-xx]",""
"Medio","[9788860881045]","La vita finanziaria dei poeti","","Jess Walter","Paperback","305","Guanda (I Narratori della Fenice)","[2011-03-xx]",""
"Medio","[9788897508205]","Ferro sette","","Francesco Troccoli","Paperback","320","Armando Curcio","[2012-04-26]",""
"Medio","[9788886232760]","Italia overground","Mappe e reti della cultura alternativa","","Tascabile economico","303","Castelvecchi","[1996-01-01]",""
"Medio","[9788874241231]","La città buia","","Sandrone Dazieri, Daniele G. Genova","Paperback","189","Aliberti","",""
"Medio","[9788842099437]","La legge della giungla","","Enrico Brizzi","Altri","256","","[2012-05-01]",""
"Medio","[9788862201520]","Senza offesa, fai schifo.","La critica che fa bene agli altri e fa star meglio te","Ludovica Scarpa","Paperback","202","Ponte alle Grazie","[2011-01-01]",""
"Medio","[9788804615286]","Una storia tra due città","","Charles Dickens","Paperback","526","A. Mondadori (Oscar Classici; 654)","[2012-01-01]",""
"Medio","[9788882466114]","Molto forte, incredibilmente vicino","","Jonathan Safran Foer","Copertina rigida","351","Guanda","[2005-01-01]",""
"Medio","[9788861554399]","Il cigno dalle quattro ali","","Roberto Rocchi","Paperback","202","Giraldie","[2011-01-01]",""
"Medio","[9788875783181]","La cattedrale di Turing","Le origini dell'universo digitale","George Dyson","Paperback","447","Codice Edizioni","[2012-10-25]",""
"Medio","[9788863800760]","La dittatura delle abitudini","Come si formano, quanto ci condizionano, come cambiarle","Charles Duhigg","Paperback","432","Corbaccio","[2012-10-01]",""
"Medio","[9788806211004]","Il secondo libro dell'ignoranza","Tutto quello che vi ostinate a non sapere","John Mitchinson, John Lloyd","Paperback","300","Einaudi","[2012-05-01]",""
"Medio","[9788842817970]","Debito","I primi 5000 anni","David Graeber","Paperback","521","il Saggiatore","[2012-05-xx]",""
"Medio","[9788864790541]","Sgualciti dalla vita","Racconti nudi e soprattutto crudi","Niccolò Agrimi","Copertina morbida e spillati","104","Stilo (Nuovelettere)","[2012-06-01]",""
"Medio","[9788845913747]","L'arte di farsi rispettare","Esposta in 14 massime","Arthur Schopenhauer","Altri","90","Adelphi","[1998-01-01]",""
"Medio","[9788879532389]","Volo basso","Sesso, cacca e banalità. Viaggio nelle cazzate che scrive Fabio Volo","Lucio Giunio Bruto","Paperback","180","Kaos Edizioni","[2012-03-01]",""
"Medio","[9788862205528]","Finanza per indignati","","Andrea Baranes","Paperback","334","Ponte alle Grazie (Inchieste ; 22)","[2012-01-01]",""
"Medio","[9788828600367]","Marcia su Roma e dintorni","","Emilio Lussu","Paperback","228","Einaudi Scuola","[2002-01-01]",""
"Medio","[9788833952598]","Lezioni di logica matematica","","Gabriele Lolli","Altri","","Bollati Boringhieri","[1978-01-01]",""
"Medio","[9788845256219]","Un contadino nella metropoli","Ricordi di un militante delle Brigate Rosse","Prospero Gallinari","Altri","340","Bompiani","[2006-01-01]",""
"Medio","[9788845234668]","Come ho imparato le lingue","","Diego Marani","Paperback","148","Bompiani","[2005-01-01]",""
"Medio","[9788806056162]","Un viaggio in Italia","1981-1983 (Saggi)","Guido Ceronetti","Altri","290","G. Einaudi","[1983-01-01]",""
"Medio","[9780865716063]","Reinventing Collapse","The Soviet Example and American Prospects","Dmitry Orlov","Paperback","176","New Society Publishers","[2008-06-01]",""
"Medio","[9788887847178]","Il labirinto di Putin","Spie, omicidi e il cuore nero della nuova Russia","Steve Levine","Paperback","240","il Sirente","[2010-09-01]",""
"Medio","[9788864730677]","La Terra svuotata","Il futuro dell'uomo dopo l'esaurimento dei minerali","Ugo Bardi","Paperback","295","Editori Riuniti University Press","[2011-11-15]",""
"0","[9788817056977]","Invictus","Costantino, l'imperatore guerriero","Simone Sarasso","Copertina rigida","587","Rizzoli","[2012-05-01]",""
"Medio","[9788804588283]","La Città dei Clown","","Will Elliott","Tascabile economico","364","Arnoldo Mondadori (Strade Blu)","[2009-02-xx]",""
"Medio","[9788806143213]","Oltre il confine","","Cormac McCarthy","Paperback","370","Einaudi","[1997-01-01]",""
"Medio","[9788845245794]","L'uomo di marketing e la variante limone","","Walter Fontana","Altri","158","Bompiani","[2000-01-01]",""
"Medio","[9788879664370]","Ramones","La biografia ufficiale","Jim Bessman","Altri","380","Arcana","[2007-01-01]",""
"Medio","[9788807721564]","Storia della libertà di pensiero","","Paolo Villaggio","Paperback","190","Feltrinelli","[2008-01-01]",""
"Medio","[9788864110912]","Sette piccoli sospetti","","Christian Frascella","Copertina morbida e spillati","347","Fazi (Le vele 100)","[2010-03-01]",""
"Medio","[9788860880949]","Almanacco Guanda (2007)","Il complotto","","Altri","264","Guanda","[2007-01-01]",""
"Medio","[9788879722681]","Aria sottile","","Jon Krakauer","Copertina rigida","346","Corbaccio","[1998-xx-xx]",""
"Medio","[9788870682151]","Le miniere di re Salomone","Misteri d'oriente - vol. 3","Michel Pagel, Dominique Monrocq, Doug Headline","Paperback","312","EL","[1989-01-01]",""
"Medio","[9788806134877]","L'idiota","","Fedor M. Dostoevskij","Tascabile economico","606","Einaudi","[1994-01-01]",""
"Medio","[9788845913754]","In mezzo scorre il fiume","","Norman MacLean","Paperback","153","Adelphi (gli Adelphi, 130)","[1998-01-01]",""
"Medio","[9788842530572]","L'isola del dottor Moreau","","H.G. Wells","Altri","123","Mursia ","[1978-01-01]",""
"Medio","[9788877465603]","Il falco maltese","","Dashiell Hammett","Paperback","222","Guanda (Narratori della fenice)","[1991-10-xx]",""
"Medio","[9788807811777]","Il lungo addio","","Raymond Chandler","Paperback","313","Feltrinelli (Universale economica, 1177)","[1991-xx-xx]",""
"Medio","[9788804565246]","Il pericoloso libro delle cose da veri uomini","","Conn Iggulden, Hal Iggulden","Altri","309","Mondadori","[2007-01-01]",""
"Basso","[9788845302534]","La grande depressione del mondo 1929 - 1939","","Charles P. Kindleberger","Altri","","Etas","[1996-01-01]",""
"Medio","[9788804467632]","Generazione X","Storie per una cultura accelerata","Douglas Coupland","Paperback","219","Mondadori (Piccola biblioteca Oscar, 172)","[1999-01-xx]",""
"Medio","[9788835956204]","La medicina smascherata","L'antivivisezionismo come esperienza politica","Hans Ruesch, Marco Mamone Capria","Copertina rigida","271","Editori Riuniti","[2005-01-01]",""
"Medio","[9788883635496]","Capire la borsa","Guida all'investimento azionario a Piazza Affari e sui mercati internazionali","Marco Liera, Beltratti Andrea","Altri","359","Il Sole 24 Ore Pirola","[2005-01-01]",""
"Medio","[9788848112130]","Sicurezza digitale","Miti da sfatare, strategie da adottare","Bruce Schneier","Altri","344","Tecniche Nuove","[2001-01-01]",""
"Basso","[9788804556190]","Riflessioni sull'orlo dell'Apocalisse","Contemplando il futuro con Noam Chomsky, Bruce Sterling, Deepak Chopra e altri","David Jay Brown","Paperback","454","Arnoldo Mondadori (Oscar piccola biblioteca)","[2006-11-01]",""
"Basso","","10 giorni che fecero tremare il mondo","","John Reed","Tascabile economico","324","Longanesi & C. (I libri pocket - 34)","[1966-03-01]",""
"Medio","[9788835950196]","Marx a Soho","Un monologo sulla storia","Howard Zinn","Paperback","69","Editori Riuniti","[2001-01-01]",""
"Medio","[9788881585816]","La guerra giusta","","Howard Zinn","Paperback","72","Charta","[2006-01-01]",""
"Medio","[9780973778700]","Access All Areas","A User's Guide to the Art of Urban Exploration","Ninjalicious","Paperback","242","Infilpress","[2005-10-15]",""
"Medio","[9780970910141]","Recipes for Disaster","An Anarchist Cookbook","Crimethinc","Paperback","624","CrimethInc. Ex-Workers' Collective","[2005-01-01]",""
"Medio","[9780970910103]","Days of War, Nights of Love","Crimethink For Beginners","Crimethinc","Paperback","292","CrimethInc.","[2001-01-01]",""
"Medio","[9781559707794]","The Natashas","Inside the New Global Sex Trade","Victor Malarek","Paperback","320","Arcade Publishing","[2005-09-12]",""
"Alto","[9788889091081]","Fidati! Gli esperti siamo noi","Come la scienza corrotta minaccia il nostro futuro","John Stauber, Sheldon Rampton","Altri","290","Nuovi Mondi Media","[2004-01-01]",""
"Alto","[9788889091272]","Farmaci che ammalano e case farmaceutiche che ci trasformano in pazienti","","Alan Cassels, Ray Moynihan","Altri","219","Nuovi Mondi Media","[2005-01-01]",""
"Alto","[9788890063077]","American nightmare","Incubo americano","Sbancor","Altri","171","Nuovi Mondi Media","[2003-01-01]",""
"Alto","[9788804422495]","Io sono leggenda","Urania 1292, edizione per libreria 4","Richard Matheson","Altri","224","Mondadori (Urania per Libreria)","[1996-09-15]",""
"Alto","[9788838470394]","Eroi per forza","Sono i vincitori a dettare la storia","Erik Durschmied","Altri","495","Piemme","[2004-01-01]",""
"Alto","[9788817003612]","Odissee","Italiani sulle rotte del sogno e del dolore","Gian Antonio Stella","Altri","212","Rizzoli","[2004-01-01]",""
"Alto","[9788804479550]","Schei","","Gian Antonio Stella","Altri","","Mondadori","[2000-01-01]",""
"Basso","[9788881856329]","Francesco Guccini","Storie di vita quotidiana","Andrea Sanfilippo","Altri","240","Bastogi Editrice Italiana","[2004-01-01]",""
"Alto","[9788842814184]","Compagni che sbagliano","La sinistra al governo e altre storie della nuova Italia","Gianni Barbacetto","Altri","286","Il Saggiatore","[2007-01-01]",""
"Alto","[9788888161341]","Pronti a tutto","Emergenza e pericoli in agguato","Zanti Tony","Altri","192","Dossier","[2002-01-01]",""
"Basso","[9788888829050]","Il mio Danubio","In bicicletta lungo il fiume d'Europa","Guillame Prébois","Altri","172","Ediciclo","[2004-01-01]",""
"Basso","[9788885327603]","Passi e valli in bicicletta","Emilia Romagna. Province di Piacenza, Parma e Reggio Emilia","Alberto Ferraris","Paperback","168","Ediciclo (Passi e valli d'Europa; 2)","[1996-02-01]",""
"Alto","[9788889026007]","Il terrorismo islamico in Italia","Realtà e finzione","Corbucci Carlo","Paperback","288","Gruppo Editoriale Agorà","[2003-01-01]",""
"Medio","[9788806156169]","Desideriamo informarla che domani verremo uccisi con le nostre famiglie","Storie dal Ruanda","Philip Gourevitch","Altri","378","Einaudi","[2000-01-01]",""
"Medio","[9788889091210]","Nuoce gravemente ai luoghi comuni","Manuale di autodifesa intellettuale","Michael Zezima","Altri","166","Nuovi Mondi Media","[2005-01-01]",""
"Medio","[9788860840226]","Storia d'Italia al rovescio (2006-2001)","","Leonardo","Altri","90","Unwired Media","[2006-01-01]",""
"Medio","[9788887826449]","La nuova democrazia","Illusioni di civiltà nell'era dell'egemonia Usa","Antonella Randazzo","Altri","484","Zambon Editore","[2007-01-01]",""
"Medio","[9788842072034]","Il fascino oscuro della guerra","","Chris Hedges","Altri","199","Laterza","[2004-01-01]",""
"Medio","[9788820035563]","ONU","Debolezze e contraddizioni di una istituzione indispensabile per la pace","Linda Polman","Altri","295","Sperling & Kupfer","[2003-01-01]",""
"Medio","[9780321369444]","How to Break Web Software","Functional and Security Testing of Web Applications and Web Services","James A. Whittaker, Mike Andrews","Paperback","240","Pearson Education (US)","[2006-02-02]",""
"Medio","[9788804546993]","I guardiani della notte","","Sergej Luk'janenko","Copertina rigida","496","Mondadori","[2005-05-01]",""
"Alto","[9788804394488]","Il guinness dei fiaschi militari","","Geoffrey Regan","Altri","300","Mondadori","[1995-01-01]",""
"Alto","[9788888865331]","American punk hardcore","","Steven Blush","Altri","462","Shake","[2007-01-01]",""
"Medio","[9788817873055]","Il cuore oscuro dell'Italia","Un viaggio tra odio e amore","Tobias Jones","Copertina rigida","311","Rizzoli","[2003-01-01]",""
"Medio","[9788884908728]","Please kill me","Il punk nelle parole dei suoi protagonisti","Legs McNeil, Gillian McCain","Paperback","631","Baldini Castoldi Dalai","[2006-01-01]",""
"Medio","[9788807816413]","L'uomo flessibile","Le conseguenze del nuovo capitalismo sulla vita personale","Richard Sennett","Paperback","160","Feltrinelli","[2001-03-23]",""
"Medio","[9788882390761]","Il risparmio tradito","Come difendersi da bancari, assicuratori","Beppe Scienza","Altri","191","Cortina (Torino)","[2001-01-01]",""
"Basso","[9788871805450]","In God we trust","Evangelici e fondamentalisti cristiani negli Stati Uniti","Sebastien Fath","Altri","272","Lindau","[2005-01-01]",""
"Medio","[9788804398172]","Il sole nudo","","Isaac Asimov","Paperback","242","Arnoldo Mondadori (Oscar Bestsellers)","[1995-01-01]",""
"Basso","[9788804057338]","Addio alle armi","","Ernest Hemingway","Altri","384","Mondadori","[1986-01-01]",""
"Alto","[9788838433450]","Non mi uccidere","La trilogia di Mirta-Luna, volume 1","Chiara Palazzolo","Paperback","432","Piemme (Mini Pocket)","[2007-03-01]",""
"Basso","[9788888738901]","Post-work","Per la fine del lavoro senza fine","Stanley Aronowitz","Altri","298","DeriveApprodi","[2006-01-01]",""
"Medio","[9788807813023]","Novecento","Un monologo","Alessandro Baricco","Paperback","62","Feltrinelli (Universale Economica, 1302)","[1994-10-01]",""
"Medio","[9788834708217]","Havana glam","","Wu Ming","Paperback","407","Fanucci","[2001-01-01]",""
"Medio","[9788817014632]","Don Chisciotte della Mancia","","Miguel de Cervantes Saavedra","Altri","1311","BUR Biblioteca Univ. Rizzoli","[2007-01-01]",""
"Medio","[9788888829081]","Guida pratica alla manutenzione della bicicletta da strada","","Zampieri Stefano, Scavezzon Martino, Scavezzon Emilio","Altri","96","Ediciclo","[2006-01-01]",""
"Medio","[9788860680365]","L' odore del fieno","","Sara Durantini","","96","Pequod","[2007-01-01]",""
"Medio","[9788804411505]","I robot e l'impero","","Isaac Asimov","Paperback","387","Arnoldo Mondadori (Oscar Bestsellers)","[1996-01-01]",""
"Medio","[9788804403036]","I robot dell'alba","","Isaac Asimov","Paperback","484","Arnoldo Mondadori (Oscar Bestsellers, 567)","[1995-06-01]",""
"Medio","[9788842906452]","Largo! Largo!","Nord - SF Narrativa d'anticipazione, 40","Harry Harrison","Paperback","233","Nord - SF Narrativa d'anticipazione","[1983-10-01]",""
"Medio","[9788834710548]","I cinquecento milioni della Bégum","","Jules Verne","Altri","267","Fanucci","[2005-01-01]",""
"Medio","[9788804403043]","Abissi d'acciaio","","Isaac Asimov","Altri","259","Mondadori (Oscar Bestsellers)","[1995-01-01]",""
"Medio","[9788804533498]","Garbageland","","Juan Abreu","Paperback","207","Mondadori (Oscar Piccola Biblioteca; 378)","[2004-01-01]",""
"Medio","[9788807819353]","L'isola di cemento","","J. G. Ballard","Altri","155","Feltrinelli","[2007-01-01]",""
"Medio","[9788807803260]","La nuvola nera","","Fred Hoyle","Paperback","264","Feltrinelli","[2003-09-01]",""
"Medio","[9788861900004]","Italiopoli","","Oliviero Beha","Paperback","250","Chiarelettere (Reverse)","[2007-05-01]",""
"Medio","[9788842042648]","Da Craxi a Craxi","","Elio Veltri","Altri","310","Laterza","[1993-01-01]",""
"Medio","[9788835955559]","Il topino intrappolato","Legalità, questione morale e centrosinistra","Elio Veltri","Altri","302","Editori Riuniti","[2005-01-01]",""
"Medio","[9788830424005]","Il governo dei conflitti","","Elio Veltri, Francesco Paola","Copertina rigida","202","Longanesi","[2006-01-01]",""
"Medio","[9788811600657]","Uliwood party","Figure e figurine, figuri e figuracce del primo anno di centro-sinistra(-destra)","Marco Travaglio","Altri","428","Garzanti Libri","[2007-01-01]",""
"Medio","[9788842813958]","La scomparsa dei fatti","Si prega di abolire le notizie per non disturbare le opinioni","Marco Travaglio","Altri","316","Il Saggiatore","[2006-12-01]",""
"Medio","[9788861900028]","Mani sporche","","Peter Gomez, Marco Travaglio, Gianni Barbacetto","Paperback","930","Chiarelettere (Principio attivo)","[2007-12-06]",""
"Medio","[9788817013154]","Goodbye Europa","Cronache di un declino economico e politico","Francesco Giavazzi, Alberto Alesina","Altri","217","Rizzoli","[2006-01-01]",""
"Medio","[9788842072737]","Cosa nostra","Storia della mafia siciliana","John Dickie","Copertina rigida","506","Laterza ","[2006-01-01]",""
"Medio","[9788823831247]","Effetto Wal-Mart","Il costo nascosto della convenienza","Charles Fishman","Altri","272","EGEA","[2006-01-01]",""
"Medio","[9788804551768]","Breve storia del progresso","","Ronald Wright","Altri","190","Mondadori","[2006-01-01]",""
"Medio","[9788889091388]","CENSURA","Las 25 noticias más censuradas","Peter Phillips Y Project Censored","Paperback","390","Nuovi Mondi Media","[2006-06-01]",""
"Medio","[9788889091395]","Il codice nascosto","Perché viviamo, compriamo, amiamo. E perché lo facciamo in questo modo.","Clotaire Rapaille","Copertina morbida e spillati","190","Nuovi Mondi Media","[2006-10-01]",""
"Medio","[9788806172473]","La mattanza","Dal silenzio sulla mafia al silenzio della mafia","Carlo Lucarelli","Altri","79","Einaudi","[2004-01-01]",""
"Medio","[9788811667018]","Quer pasticciaccio brutto de via Merulana","","Carlo Emilio Gadda","Paperback","275","Garzanti","[1995-06-01]",""
"Medio","[9788820036218]","La mucca viola","Farsi notare (e fare fortuna) in un mondo tutto marrone","Seth Godin","Altri","212","Sperling & Kupfer","[2004-01-01]",""
"Medio","[9788872262092]","Svastica","","Charles Bukowski","Paperback","32","Nuovi Equilibri","[1994-01-01]",""
"Medio","[9788881126781]","Trattato di ateologia","Fisica della metafisica","Michel Onfray","Paperback","224","Fazi","[2005-09-01]",""
"Medio","[9788804533085]","Il libro dei coniglietti suicidi","","Andy Riley","Altri","84","Mondadori","[2004-01-01]",""
"Medio","[9788838486593]","Attenti al dragone","Quando la Cina varca i confini, il mondo trema","Erik Durschmied","Altri","543","Piemme","[2006-01-01]",""
"Medio","[9788806165215]","Underground","Racconto a più voci dell'attentato alla metropolitana di Tokyo","Haruki Murakami","Paperback","447","Einaudi","[2003-01-01]",""
"Medio","[9788817202855]","Conversazione in Sicilia","In appendice una corrispondenza immaginaria dal fronte spagnolo","Elio Vittorini","Paperback","353","Rizzoli (BUR)","[2000-01-01]",""
"Medio","[9788872268285]","Potassa","Storie di sovversivi, migranti, erranti, sottratti alla polvere degli archivi","Alberto Prunetti","Altri","102","Nuovi Equilibri","[2004-01-01]",""
"Medio","[9788804493020]","Il ponte sulla Drina","","Ivo Andrić","Paperback","403","Mondadori","[2001-01-01]",""
"Medio","[9788806154950]","Maus","Racconto di un sopravvissuto","Art Spiegelman","Paperback","291","Einaudi (Stile Libero, 795)","[2000-01-01]",""
"Medio","[9788880895152]","Fine millennio: istruzioni per l'uso","","J. G. Ballard","Paperback","423","Baldini&Castoldi","[1999-01-01]",""
"Medio","[9780275993030]","Counterinsurgency Warfare","Theory and Practice","David Galula","Paperback","112","ABC-CLIO","[2006-08-30]",""
"Alto","[9780922915866]","War is a Racket","The Anti-War Classic by America's Most Decorated General","Smedley D. Butler","Paperback","120","Feral House","[2003-04-01]",""
"Medio","[9788806187316]","Le benevole","","Jonathan Littell","Copertina rigida","953","Einaudi (Supercoralli)","[2007-09-01]",""
"Medio","[9788806183554]","Amalgamation Polka","","Stephen Wright","Tascabile economico","354","Einaudi","[2007-01-01]",""
"Basso","[9788806187194]","Se consideri le colpe","","Andrea Bajani","Altri","170","Einaudi","[2007-10-23]",""
"Alto","[9788895029085]","Lumi di punk","La scena italiana raccontata dai protagonisti","Marco Philopat","Altri","235","Agenzia X","[2006-01-01]",""
"Medio","[9788820043834]","Blaze","","Stephen King","Copertina rigida","464","Sperling & Kupfer","[2007-12-07]",""
"Medio","[9780945466444]","What Has Government Done to Our Money? Case for the 100 Percent Gold Dollar","","Murray N. Rothbard","Copertina rigida","191","Ludwig von Mises Institute","[2005-09-20]",""
"Medio","[9781933550084]","Panic of 1819 Reactions and Policies","","","Copertina rigida","282","Ludwig von Mises Institute","[2007-04-10]",""
"Medio","[9788876418167]","La paura","","Federico De Roberto","Paperback","80","edizioni e/o","[2008-01-01]",""
"Medio","[9788872265222]","Cosa è la psichiatria","Manuale minimo per conoscere meglio la (propria) follia","Enrico Baraldi","Altri","64","Nuovi Equilibri","[1999-01-01]",""
"Medio","[9788884900319]","Il derviscio e la morte","","Meša Selimović","Altri","426","Baldini Castoldi Dalai","[2001-01-01]",""
"Alto","[9788807710070]","Le ambiguità degli aiuti umanitari","Indagine critica sul Terzo settore","Giulio Marcon","Altri","184","Feltrinelli","[2002-01-01]",""
"Medio","[9788807710223]","Come fare politica senza entrare in un partito","","Giulio Marcon","Altri","184","Feltrinelli","[2005-01-01]",""
"Medio","[9788842814863]","Economia canaglia","Il lato oscuro del nuovo ordine mondiale","Loretta Napoleoni","Paperback","310","il Saggiatore","[2008-03-01]",""
"Medio","[9788806189051]","Tilt","","Caterina Serra","Copertina rigida","","Einaudi","[2008-01-01]",""
"Medio","[9788861900349]","Nostra eccellenza","","Massimo Cirri, Filippo Solibello","Paperback","181","Chiarelettere (Reverse)","[2008-02-07]",""
"Medio","[9788817845427]","La nuova schiavitù","","Pino Arlacchi","Altri","","Rizzoli","[1999-01-01]",""
"Medio","[9788890009952]","Le mucche non mangiano cemento","Viaggio tra gli ultimi pastori di Valsusa e l'avanzata del calcestruzzo","Chiara Sasso, Luca Mercalli","Altri","320","SMS","[2004-01-01]",""
"Medio","[9788835957270]","La decrescita felice","La qualità della vita non dipende dal PIL","Maurizio Pallante","Altri","134","Editori Riuniti","[2005-01-01]",""
"Medio","[9788835955313]","Un futuro senza luce? Come evitare i black out senza costruire nuove centrali","","Maurizio Pallante","Altri","167","Editori Riuniti","[2004-01-01]",""
"Medio","[9788833916231]","Come sopravvivere allo sviluppo","Dalla decolonizzazione dell'immaginario economico alla costruzione di una società alternativa","Serge Latouche","Paperback","105","Bollati Boringhieri","[2005-01-01]",""
"Medio","[9788830713550]","Decolonizzare l'immaginario","Il pensiero creativo contro l'economia dell'assurdo","Serge Latouche","Altri","176","EMI","[2004-01-01]",""
